Number,Portfolio,Commonwealth body name ,Type of body ,Accountable authority or governing board ,Economic sector,AITS_LInk
36,Finance ,Parliamentary Workplace Support Service ,Non-corporate Commonwealth entity ,Chief Executive Officer – Parliamentary Workplace Support Service Act 2023 section 12(3)(b).12(3)(b). ,General Govt Sector ,https://www.pwss.gov.au/sites/default/files/PWSS%20AI%20Transparency%20Statement%20-%20FINAL%20260225.pdf
37,Finance ,Services Australia ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 22(c) ",General Govt Sector ,https://www.servicesaustralia.gov.au/automation-and-artificial-intelligence-transparency-statement?context=22
38,Foreign Affairs and Trade ,Department of Foreign Affairs and Trade ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dfat.gov.au/about-us/corporate/artificial-intelligence-ai-transparency-statement
39,Foreign Affairs and Trade ,Australian Centre for International Agricultural Research (ACIAR) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Centre for International Agricultural Research Act 1982 section 32A(c) ,General Govt Sector ,https://www.aciar.gov.au/artificial-intelligence
40,Foreign Affairs and Trade ,Australian Trade and Investment Commission (Austrade) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Trade and Investment Commission Act 1985 section 7(3)(b) ,General Govt Sector ,https://www.austrade.gov.au/en/site-information/ai-transparency
41,"Health, Disability and Ageing ","Department of Health, Disability and Ageing ",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.health.gov.au/about-us/corporate-reporting/our-commitments/ai-transparency-statement
42,"Health, Disability and Ageing ",Aged Care Quality and Safety Commission ,Non-corporate Commonwealth entity ,Commissioner – Aged Care Quality and Safety Commission Act 2018 section 11(2)(b) ,General Govt Sector ,https://www.agedcarequality.gov.au/sites/default/files/media/acqsc_ai_transparency_statement.pdf
43,"Health, Disability and Ageing ",Australian Radiation Protection and Nuclear Safety Agency (ARPANSA) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Radiation Protection and Nuclear Safety Act 1998 section 14A(b) ,General Govt Sector ,https://www.arpansa.gov.au/about-us/corporate-publications/arpansas-artificial-intelligence-transparency-statement
44,"Health, Disability and Ageing ",Cancer Australia ,Non-corporate Commonwealth entity ,Chief Executive Officer – Cancer Australia Act 2006 section 36A(c) ,General Govt Sector ,https://www.canceraustralia.gov.au/sites/default/files/2025-02/ai-transparency-statement-cancer-australia-2025.DOCX
45,"Health, Disability and Ageing ",National Blood Authority ,Non-corporate Commonwealth entity ,General Manager – National Blood Authority Act 2003 section 7(3)(b) ,General Govt Sector ,https://www.blood.gov.au/nbas-ai-transparency-statement
46,"Health, Disability and Ageing ",National Health and Medical Research Council (NHMRC) ,Non-corporate Commonwealth entity ,Chief Executive Officer – National Health and Medical Research Council Act 1992 section 5B(3)(b) ,General Govt Sector ,https://www.nhmrc.gov.au/about-us/accountability-and-reporting/artificial-intelligence-ai-transparency-statement
47,"Health, Disability and Ageing ",National Health Funding Body (NHFB) ,Non-corporate Commonwealth entity ,Funding Body CEO – National Health Reform Act 2011 section 251(2)(b) ,General Govt Sector ,https://www.publichospitalfunding.gov.au/about-us/corporate-governance/ai-transparency-statement
48,"Health, Disability and Ageing ",NDIS Quality and Safeguards Commission ,Non-corporate Commonwealth entity ,The Commissioner – National Disability Insurance Scheme Act 2013 section 181A(3)(b) ,General Govt Sector ,https://www.ndiscommission.gov.au/about-us/corporate-reports/ai-statement
49,"Health, Disability and Ageing ",Office of the Inspector-General of Aged Care ,Non-corporate Commonwealth entity ,Inspector General – Inspector-General of Aged Care Act 2023 section 12(2)(b) ,General Govt Sector ,https://www.igac.gov.au/resources/artificial-intelligence-ai-transparency-statement
50,"Health, Disability and Ageing ",Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Organ and Tissue Donation and Transplantation Authority Act 2008 section 8(4)(b) ,General Govt Sector ,https://www.donatelife.gov.au/ai-transparency-statement
51,"Health, Disability and Ageing ",Professional Services Review ,Non-corporate Commonwealth entity ,Director – Health Insurance Act 1973 section 106ZPLA(c) ,General Govt Sector ,https://www.psr.gov.au/publications-and-resources/publications/corporate-documents/artificial-intelligence-ai-transparency-statement
52,"Health, Disability and Ageing ",Australian Digital Health Agency ,Corporate Commonwealth entity ,"Board of the Agency – Public Governance, Performance and Accountability (Establishing the Australian Digital Health Agency) Rule 2016 section 13 ",General Govt Sector ,https://www.digitalhealth.gov.au/about-us/policies-privacy-and-reporting/artificial-intelligence-transparency-statement
53,"Health, Disability and Ageing ",Australian Institute of Health and Welfare ,Corporate Commonwealth entity ,Board of the Institute – Australian Institute of Health and Welfare Act 1987 section 8 with reference to section 13A note (membership section 9) ,General Govt Sector ,https://www.aihw.gov.au/about-us/our-governance/ai-transparency-statement
